plot,Lon,Lat,lai
1,-0.8512892,51.1535147,3.33
5,-0.8516345,51.1534282,3.481
10,-0.852066,51.1533245,3.373
15,-0.8524976,51.1532208,2.828
23,-0.8531882,51.1530477,3.09
28,-0.853538,51.1527814,3.73
33,-0.8538877,51.1525151,3.404
38,-0.8542372,51.1522577,2.831
43,-0.854587,51.1519914,3.61
48,-0.8550141,51.1520675,2.971
53,-0.8554411,51.1521436,3.307
59,-0.8559678,51.1522387,3.258
63,-0.8563093,51.152305,3.518
68,-0.8563871,51.1526294,4.51
73,-0.8568302,51.1526338,2.862
79,-0.8573591,51.1526389,2.966
84,-0.8578023,51.1526433,3.69
88,-0.8581597,51.1526468,2.735
93,-0.8586024,51.1526691,2.619
98,-0.8590453,51.1526824,2.865
103,-0.859488,51.1527047,3.014
108,-0.8599307,51.152727,3.234
113,-0.8598835,51.1523219,2.434
116,-0.8598608,51.1520788,3.09
121,-0.8596122,51.1517257,2.855
124,-0.8594746,51.1515086,2.802
129,-0.8599188,51.1514679,3.435
134,-0.860349,51.1514182,3.358
139,-0.8607932,51.1513775,2.595
144,-0.8612377,51.1513279,2.668
149,-0.8616676,51.1512871,2.736
154,-0.8621118,51.1512465,3.402
159,-0.8625563,51.1511968,3.225
162,-0.8628142,51.1511724,2.439
167,-0.8632574,51.1511767,2.82
172,-0.8637003,51.15119,2.91
177,-0.8641434,51.1511943,2.626
185,-0.8648579,51.1512102,2.407
186,-0.86468029,51.15320587,3.04
191,-0.864343822,51.15293121,2.131
196,-0.863993108,51.15266037,1.885
201,-0.863656819,51.15237808,2.257
207,-0.863250196,51.15205002,2.542
212,-0.862831712,51.15220642,2.093
217,-0.862427473,51.15236282,2.034
222,-0.862008989,51.15252304,2.087
227,-0.861604691,51.15267944,2.417
232,-0.861186206,51.15283966,2.492
236,-0.860854328,51.15296173,2.892
241,-0.860449612,51.15313721,3.272
246,-0.860044897,51.15331268,2.905
252,-0.859553576,51.15352249,1.958
256,-0.85922122,51.15366364,1.883
261,-0.858816326,51.15385056,2.191
266,-0.85841161,51.15402603,2.185
271,-0.857992589,51.15420151,3.703
276,-0.857587874,51.15437698,3.081
281,-0.857183218,51.15455246,3.953
286,-0.856739819,51.15455627,2.871
291,-0.85629642,51.15456009,2.948
296,-0.855853021,51.15456772,2.528
301,-0.855423689,51.15457916,4.083
306,-0.854980409,51.15458679,2.639
311,-0.85453701,51.15459061,2.693
316,-0.854133427,51.15472031,3.017
324,-0.85348469,51.15493011,3.096
325,-0.8562172,51.1566114,2.796
330,-0.8566087,51.1563904,2.681
336,-0.8570871,51.1561253,3.04
339,-0.8573192,51.1559927,3.871
345,-0.8578233,51.1558448,5.764
349,-0.8581689,51.1557492,4.164
354,-0.8585868,51.1556184,2.796
359,-0.8590045,51.1554966,3.493
363,-0.85935,51.155401,3.585
368,-0.8597272,51.1551799,3.534
373,-0.8601042,51.1549678,3.858
378,-0.8604958,51.1547468,4.744
384,-0.8609453,51.1544904,5.333
389,-0.8613707,51.1546384,3.979
394,-0.8617819,51.1547773,3.392
400,-0.8622924,51.1549531,4.065
404,-0.8626326,51.1550733,3.967
409,-0.8626859,51.1546512,3.819
414,-0.8627391,51.1542291,3.98
420,-0.8628087,51.1537262,2.4
425,-0.8632195,51.153883,3.715
430,-0.8636303,51.1540399,3.946
435,-0.8640411,51.1541967,4.024
