plot,quarter,species,distance_m,dbh_cm,classification
1,NE,OK,4.72,34,2007 thinned
1,SE,OK,12.52,34,2007 thinned
1,SW,OK,4.68,37,2007 thinned
1,NW,OK,5.56,37,2007 thinned
3,NE,OK,8.58,37,2007 thinned
3,SE,OK,8.42,36,2007 thinned
3,SW,OK,6.87,27,2007 thinned
3,NW,OK,5.83,40,2007 thinned
5,NE,OK,8.94,32,2007 thinned
5,SE,OK,4.76,49,2007 thinned
5,SW,OK,4.82,30,2007 thinned
5,NW,OK,3,42,2007 thinned
8,NE,OK,2.75,29,2007 thinned
8,SE,OK,5.85,33,2007 thinned
8,SW,OK,3.81,34,2007 thinned
8,NW,OK,5.71,37,2007 thinned
10,NE,OK,5.68,30,2007 thinned
10,SE,OK,5.39,40,2007 thinned
10,SW,OK,9.17,28,2007 thinned
10,NW,OK,6.57,35,2007 thinned
13,NE,OK,8.08,34,2007 thinned
13,SE,OK,3.83,37,2007 thinned
13,SW,OK,4.93,34,2007 thinned
13,NW,OK,6.95,44,2007 thinned
15,NE,OK,2.92,37,2007 thinned
15,SE,OK,7.66,34,2007 thinned
15,SW,OK,7.74,24,2007 thinned
15,NW,OK,9.98,37,2007 thinned
21,NE,OK,7.72,40,2007 thinned
21,SE,OK,11.57,46,2007 thinned
21,SW,OK,3.77,37,2007 thinned
21,NW,OK,3.84,26,2007 thinned
23,NE,OK,7.8,36,2007 thinned
23,SE,OK,11.13,30,2007 thinned
23,SW,OK,6.43,33,2007 thinned
23,NW,OK,10.56,37,2007 thinned
26,NE,OK,6.82,40,2007 thinned
26,SE,OK,4.94,33,2007 thinned
26,SW,OK,5.63,32,2007 thinned
26,NW,OK,3.71,27,2007 thinned
28,NE,OK,3.91,22,2007 thinned
28,SE,OK,4.4,26,2007 thinned
28,SW,OK,6.03,35,2007 thinned
28,NW,OK,9.95,45,2007 thinned
31,NE,OK,2.56,27,2007 thinned
31,SE,OK,3.22,45,2007 thinned
31,SW,OK,11.83,47,2007 thinned
31,NW,OK,5.84,51,2007 thinned
33,NE,OK,10.97,38,2007 thinned
33,SE,OK,1.94,60,2007 thinned
33,SW,OK,4.24,51,2007 thinned
33,NW,OK,12.71,28,2007 thinned
38,NE,OK,7.21,46,2007 thinned
38,SE,OK,6.17,34,2007 thinned
38,SW,OK,8.31,39,2007 thinned
38,NW,OK,2.64,43,2007 thinned
43,NE,OK,4.04,27,2007 thinned
43,SE,OK,7.93,36,2007 thinned
43,SW,OK,8.37,31,2007 thinned
43,NW,OK,7.26,30,2007 thinned
48,NE,OK,6.5,39,2007 thinned
48,SE,OK,8.96,41,2007 thinned
48,SW,OK,1.97,26,2007 thinned
48,NW,OK,6.7,42,2007 thinned
51,NE,OK,4.92,40,2007 thinned
51,SE,OK,6.6,40,2007 thinned
51,SW,OK,5.54,32,2007 thinned
51,NW,OK,6.93,39,2007 thinned
53,NE,OK,5.21,32,2007 thinned
53,SE,OK,8.45,40,2007 thinned
53,SW,OK,2.63,43,2007 thinned
53,NW,OK,6.72,34,2007 thinned
59,NE,OK,8.37,36,2007 thinned
59,SE,OK,4.98,35,2007 thinned
59,SW,OK,5.92,35,2007 thinned
59,NW,OK,7.71,28,2007 thinned
63,NE,AH,7.76,25,2007 thinned
63,SE,OK,4.15,28,2007 thinned
63,SW,OK,13.26,40,2007 thinned
63,NW,OK,6.08,23,2007 thinned
68,NE,OK,8.22,45,2007 thinned
68,SE,OK,3.34,33,2007 thinned
68,SW,OK,3.33,29,2007 thinned
68,NW,OK,6.02,28,2007 thinned
71,NE,OK,8.2,26,2007 thinned
71,SE,OK,5.84,29,2007 thinned
71,SW,OK,4.85,27,2007 thinned
71,NW,AH,11,25,2007 thinned
73,NE,AH,7.55,28,2007 thinned
73,SE,AH,7.76,29,2007 thinned
73,SW,AH,4.07,27,2007 thinned
73,NW,AH,6.87,30,2007 thinned
79,NE,OK,5.2,29,2007 thinned
79,SE,OK,9.02,44,2007 thinned
79,SW,OK,10.67,40,2007 thinned
79,NW,OK,4.46,41,2007 thinned
84,NE,OK,3.61,30,2007 thinned
84,SE,OK,3.92,37,2007 thinned
84,SW,OK,4.99,27,2007 thinned
84,NW,OK,7.06,31,2007 thinned
86,NE,OK,6.28,37,2007 thinned
86,SE,OK,3.16,42,2007 thinned
86,SW,OK,4.33,26,2007 thinned
86,NW,OK,5.27,40,2007 thinned
88,NE,OK,7.48,40,2014 thinned
88,SE,OK,8.21,37,2014 thinned
88,SW,OK,9.48,26,2014 thinned
88,NW,OK,4.97,31,2014 thinned
93,NE,OK,4.33,26,2014 thinned
93,SE,OK,6.77,42,2014 thinned
93,SW,OK,13.44,48,2014 thinned
